"","Cluster_0","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"1","PRF1","HSPA1A","RPS10","RPS10","TYROBP","MT-CYB","RPL41","MT-ATP6","LEF1","SOX4","STATH"
"2","SRRT","HSPH1","RPS4Y1","LINC-PINT","H3F3B","MT-CO3","RPS26","RPL37A","ACTN1","TRBV12-2","SMR3B"
"3","SLA2","CACYBP","RPS29","GAS5","EEF1A1","TNFAIP3","RPS18","MT-CYB","LDLRAP1","GNLY","HTN3"
"4","HLA-DRB5","HSPA6","MT-ND3","CD48","EIF1","PTPRC","TMSB4X","MT-ND1","GAS5","CXCL13","RPS4Y1"
"5","SH2D2A","DNAJB1","RPS21","PTP4A1","BTG1","HLA-A","RPL13","MT-CO3","LTB","TRBV11-2","HTN1"
"6","SNAP47","HSPE1","RPL34","RPL13A","RPL41","RNF19A","RPL28","RPS29","TCF7","HTRA1","EEF1A1"
"7","KLRC2","DNAJA1","MT-CO2","GPR183","TSC22D3","MT-ND1","RPL11","MT-ND3","LYPD3","ALOX5AP","RPS13"
"8","TNFRSF9","HSPD1","RPL39","MT-ND5","VIM","FUS","RPS28","MT-ATP8","SELL","GZMB","RPS5"
"9","CD7","HSP90AA1","RPS3A","FOS","FTH1","NEAT1","RPL19","HLA-A","IGLV3-25","TRAV41","RPL29"
"10","GZMB","HSPA1B","RPL36","IL32","DUSP2","MT-ATP6","RPL7A","RPL41","CCR7","CAPG","RPL8"
"11","GZMH","BAG3","RPS26","AHNAK","CALM1","CDC14A","RPS15","IL32","SCML1","KLRC1","NACA"
"12","GSPT1","HSPB1","RPS24","RPL27A","UBB","HSPA5","RPL36","RPL36A","KRT1","TRBV6-5","RPL18A"
"13","HLA-DQA2","HSPA8","RPS28","TIPARP","ZFP36","MT-CO1","RPS3","RPL23A","KLF3","ACP5","RPL32"
"14","PGAM1","FKBP4","RPS27A","IFI44L","HNRNPA1","CD44","RPS27","RPL37","C1orf162","VCAM1","RPL19"
"15","KIR2DL4","HSP90AB1","RPL32","IFI6","HLA-E","MT-CO2","RPL32","SNHG6","SPINT2","PHLDA1","RPS23"
"16","LAG3","BPGM","RPL30","TNF","FCER1G","DDX3X","RPS12","RPS2","WNT7A","ZNF683","RPL5"
"17","PGK1","AHSA1","RPL11","GLUL","FAM177A1","MT-ND5","RPL30","RPSA","TXK","TRAV38-2DV8","RPL11"
"18","OASL","ZFAND2A","RPS23","RPS20","ANXA1","LINC-PINT","RPS15A","RPS16","CMTM8","TRAV21","RPS18"
"19","LDHA","UBB","RPL26","DDX3X","PNRC1","RALGAPA1","B2M","RPL38","S1PR1","MYO1E","RPL12"
"20","CD8A","SERPINH1","RPS15A","TOB1","RPL36AL","SYNE2","RPL10","RPS14","TRABD2A","SPRY1","RPL3"
